Sex,Division,Event,Year,Points,Shift
Men,Kansas 1A,100m,2010,716,No
Men,Kansas 1A,100m,2011,632,No
Men,Kansas 1A,100m,2012,694,No
Men,Kansas 1A,100m,2013,706,No
Men,Kansas 1A,100m,2014,720,No
Men,Kansas 1A,100m,2015,707,No
Men,Kansas 1A,100m,2016,730,No
Men,Kansas 1A,100m,2017,729,No
Men,Kansas 1A,100m,2018,686,No
Men,Kansas 1A,100m,2019,726,No
Men,Kansas 1A,100m,2021,700,No
Men,Kansas 1A,100m,2022,687,No
Men,Kansas 1A,100m,2023,692,No
Men,Kansas 1A,1600m,2010,328,No
Men,Kansas 1A,1600m,2011,440,No
Men,Kansas 1A,1600m,2012,378,No
Men,Kansas 1A,1600m,2013,409,No
Men,Kansas 1A,1600m,2014,431,No
Men,Kansas 1A,1600m,2015,423,No
Men,Kansas 1A,1600m,2016,418,No
Men,Kansas 1A,1600m,2017,420,No
Men,Kansas 1A,1600m,2018,378,No
Men,Kansas 1A,1600m,2019,404,No
Men,Kansas 1A,1600m,2021,351,No
Men,Kansas 1A,1600m,2022,347,No
Men,Kansas 1A,1600m,2023,372,No
Men,Kansas 1A,200m,2010,633,No
Men,Kansas 1A,200m,2011,628,No
Men,Kansas 1A,200m,2012,650,No
Men,Kansas 1A,200m,2013,645,No
Men,Kansas 1A,200m,2014,680,No
Men,Kansas 1A,200m,2015,650,No
Men,Kansas 1A,200m,2016,667,No
Men,Kansas 1A,200m,2017,682,No
Men,Kansas 1A,200m,2018,637,No
Men,Kansas 1A,200m,2019,657,No
Men,Kansas 1A,200m,2021,644,No
Men,Kansas 1A,200m,2022,632,No
Men,Kansas 1A,200m,2023,649,No
Men,Kansas 1A,3200m,2010,310,No
Men,Kansas 1A,3200m,2011,438,No
Men,Kansas 1A,3200m,2012,290,No
Men,Kansas 1A,3200m,2013,325,No
Men,Kansas 1A,3200m,2014,336,No
Men,Kansas 1A,3200m,2015,344,No
Men,Kansas 1A,3200m,2016,339,No
Men,Kansas 1A,3200m,2017,341,No
Men,Kansas 1A,3200m,2018,302,No
Men,Kansas 1A,3200m,2019,319,No
Men,Kansas 1A,3200m,2021,254,No
Men,Kansas 1A,3200m,2022,232,No
Men,Kansas 1A,3200m,2023,262,No
Men,Kansas 1A,400m,2010,589,No
Men,Kansas 1A,400m,2011,602,No
Men,Kansas 1A,400m,2012,587,No
Men,Kansas 1A,400m,2013,602,No
Men,Kansas 1A,400m,2014,611,No
Men,Kansas 1A,400m,2015,606,No
Men,Kansas 1A,400m,2016,624,No
Men,Kansas 1A,400m,2017,612,No
Men,Kansas 1A,400m,2018,591,No
Men,Kansas 1A,400m,2019,578,No
Men,Kansas 1A,400m,2021,556,No
Men,Kansas 1A,400m,2022,560,No
Men,Kansas 1A,400m,2023,576,No
Men,Kansas 1A,800m,2010,424,No
Men,Kansas 1A,800m,2011,487,No
Men,Kansas 1A,800m,2012,428,No
Men,Kansas 1A,800m,2013,462,No
Men,Kansas 1A,800m,2014,493,No
Men,Kansas 1A,800m,2015,495,No
Men,Kansas 1A,800m,2016,525,No
Men,Kansas 1A,800m,2017,483,No
Men,Kansas 1A,800m,2018,463,No
Men,Kansas 1A,800m,2019,450,No
Men,Kansas 1A,800m,2021,404,No
Men,Kansas 1A,800m,2022,394,No
Men,Kansas 1A,800m,2023,430,No
Men,Kansas 1A,Discus,2010,611,No
Men,Kansas 1A,Discus,2011,578,No
Men,Kansas 1A,Discus,2012,626,No
Men,Kansas 1A,Discus,2013,645,No
Men,Kansas 1A,Discus,2014,658,No
Men,Kansas 1A,Discus,2015,650,No
Men,Kansas 1A,Discus,2016,653,No
Men,Kansas 1A,Discus,2017,643,No
Men,Kansas 1A,Discus,2018,648,No
Men,Kansas 1A,Discus,2019,653,No
Men,Kansas 1A,Discus,2021,633,No
Men,Kansas 1A,Discus,2022,644,No
Men,Kansas 1A,Discus,2023,651,No
Men,Kansas 1A,High Jump,2010,668,No
Men,Kansas 1A,High Jump,2011,726,No
Men,Kansas 1A,High Jump,2012,646,No
Men,Kansas 1A,High Jump,2013,670,No
Men,Kansas 1A,High Jump,2014,663,No
Men,Kansas 1A,High Jump,2015,647,No
Men,Kansas 1A,High Jump,2016,667,No
Men,Kansas 1A,High Jump,2017,658,No
Men,Kansas 1A,High Jump,2018,651,No
Men,Kansas 1A,High Jump,2019,644,No
Men,Kansas 1A,High Jump,2021,654,No
Men,Kansas 1A,High Jump,2022,669,No
Men,Kansas 1A,High Jump,2023,655,No
Men,Kansas 1A,Javelin,2010,576,No
Men,Kansas 1A,Javelin,2011,567,No
Men,Kansas 1A,Javelin,2012,574,No
Men,Kansas 1A,Javelin,2013,585,No
Men,Kansas 1A,Javelin,2014,589,No
Men,Kansas 1A,Javelin,2015,585,No
Men,Kansas 1A,Javelin,2016,595,No
Men,Kansas 1A,Javelin,2017,589,No
Men,Kansas 1A,Javelin,2018,582,No
Men,Kansas 1A,Javelin,2019,571,No
Men,Kansas 1A,Javelin,2021,567,No
Men,Kansas 1A,Javelin,2022,563,No
Men,Kansas 1A,Javelin,2023,575,No
Men,Kansas 1A,Long Jump,2010,654,No
Men,Kansas 1A,Long Jump,2011,641,No
Men,Kansas 1A,Long Jump,2012,655,No
Men,Kansas 1A,Long Jump,2013,674,No
Men,Kansas 1A,Long Jump,2014,693,No
Men,Kansas 1A,Long Jump,2015,665,No
Men,Kansas 1A,Long Jump,2016,687,No
Men,Kansas 1A,Long Jump,2017,674,No
Men,Kansas 1A,Long Jump,2018,678,No
Men,Kansas 1A,Long Jump,2019,682,No
Men,Kansas 1A,Long Jump,2021,693,No
Men,Kansas 1A,Long Jump,2022,687,No
Men,Kansas 1A,Long Jump,2023,685,No
Men,Kansas 1A,Pole Vault,2010,491,No
Men,Kansas 1A,Pole Vault,2011,528,No
Men,Kansas 1A,Pole Vault,2012,491,No
Men,Kansas 1A,Pole Vault,2013,473,No
Men,Kansas 1A,Pole Vault,2014,479,No
Men,Kansas 1A,Pole Vault,2015,494,No
Men,Kansas 1A,Pole Vault,2016,471,No
Men,Kansas 1A,Pole Vault,2017,480,No
Men,Kansas 1A,Pole Vault,2018,468,No
Men,Kansas 1A,Pole Vault,2019,457,No
Men,Kansas 1A,Pole Vault,2021,445,No
Men,Kansas 1A,Pole Vault,2022,474,No
Men,Kansas 1A,Pole Vault,2023,481,No
Men,Kansas 1A,Shot Put,2010,661,No
Men,Kansas 1A,Shot Put,2011,650,No
Men,Kansas 1A,Shot Put,2012,670,No
Men,Kansas 1A,Shot Put,2013,689,No
Men,Kansas 1A,Shot Put,2014,702,No
Men,Kansas 1A,Shot Put,2015,704,No
Men,Kansas 1A,Shot Put,2016,696,No
Men,Kansas 1A,Shot Put,2017,692,No
Men,Kansas 1A,Shot Put,2018,681,No
Men,Kansas 1A,Shot Put,2019,684,No
Men,Kansas 1A,Shot Put,2021,671,No
Men,Kansas 1A,Shot Put,2022,674,No
Men,Kansas 1A,Shot Put,2023,671,No
Men,Kansas 1A,Triple Jump,2010,602,No
Men,Kansas 1A,Triple Jump,2011,628,No
Men,Kansas 1A,Triple Jump,2012,586,No
Men,Kansas 1A,Triple Jump,2013,619,No
Men,Kansas 1A,Triple Jump,2014,629,No
Men,Kansas 1A,Triple Jump,2015,626,No
Men,Kansas 1A,Triple Jump,2016,643,No
Men,Kansas 1A,Triple Jump,2017,619,No
Men,Kansas 1A,Triple Jump,2018,622,No
Men,Kansas 1A,Triple Jump,2019,635,No
Men,Kansas 1A,Triple Jump,2021,635,No
Men,Kansas 1A,Triple Jump,2022,632,No
Men,Kansas 1A,Triple Jump,2023,609,No
Men,Kansas 3A,100m,2010,694,No
Men,Kansas 3A,100m,2011,594,No
Men,Kansas 3A,100m,2012,720,No
Men,Kansas 3A,100m,2013,704,No
Men,Kansas 3A,100m,2014,732,No
Men,Kansas 3A,100m,2015,738,No
Men,Kansas 3A,100m,2016,761,No
Men,Kansas 3A,100m,2017,747,No
Men,Kansas 3A,100m,2018,749,No
Men,Kansas 3A,100m,2019,755,No
Men,Kansas 3A,100m,2021,767,No
Men,Kansas 3A,100m,2022,749,No
Men,Kansas 3A,100m,2023,776,No
Men,Kansas 3A,1600m,2010,377,No
Men,Kansas 3A,1600m,2011,352,No
Men,Kansas 3A,1600m,2012,411,No
Men,Kansas 3A,1600m,2013,410,No
Men,Kansas 3A,1600m,2014,426,No
Men,Kansas 3A,1600m,2015,441,No
Men,Kansas 3A,1600m,2016,451,No
Men,Kansas 3A,1600m,2017,463,No
Men,Kansas 3A,1600m,2018,458,No
Men,Kansas 3A,1600m,2019,469,No
Men,Kansas 3A,1600m,2021,490,No
Men,Kansas 3A,1600m,2022,511,No
Men,Kansas 3A,1600m,2023,519,No
Men,Kansas 3A,200m,2010,618,No
Men,Kansas 3A,200m,2011,613,No
Men,Kansas 3A,200m,2012,673,No
Men,Kansas 3A,200m,2013,651,No
Men,Kansas 3A,200m,2014,690,No
Men,Kansas 3A,200m,2015,690,No
Men,Kansas 3A,200m,2016,707,No
Men,Kansas 3A,200m,2017,710,No
Men,Kansas 3A,200m,2018,705,No
Men,Kansas 3A,200m,2019,707,No
Men,Kansas 3A,200m,2021,722,No
Men,Kansas 3A,200m,2022,711,No
Men,Kansas 3A,200m,2023,731,No
Men,Kansas 3A,3200m,2010,330,No
Men,Kansas 3A,3200m,2011,341,No
Men,Kansas 3A,3200m,2012,325,No
Men,Kansas 3A,3200m,2013,322,No
Men,Kansas 3A,3200m,2014,334,No
Men,Kansas 3A,3200m,2015,368,No
Men,Kansas 3A,3200m,2016,364,No
Men,Kansas 3A,3200m,2017,394,No
Men,Kansas 3A,3200m,2018,386,No
Men,Kansas 3A,3200m,2019,396,No
Men,Kansas 3A,3200m,2021,410,No
Men,Kansas 3A,3200m,2022,422,No
Men,Kansas 3A,3200m,2023,433,No
Men,Kansas 3A,400m,2010,496,No
Men,Kansas 3A,400m,2011,680,No
Men,Kansas 3A,400m,2012,614,No
Men,Kansas 3A,400m,2013,586,No
Men,Kansas 3A,400m,2014,629,No
Men,Kansas 3A,400m,2015,619,No
Men,Kansas 3A,400m,2016,634,No
Men,Kansas 3A,400m,2017,637,No
Men,Kansas 3A,400m,2018,637,No
Men,Kansas 3A,400m,2019,633,No
Men,Kansas 3A,400m,2021,639,No
Men,Kansas 3A,400m,2022,638,No
Men,Kansas 3A,400m,2023,648,No
Men,Kansas 3A,800m,2010,452,No
Men,Kansas 3A,800m,2011,482,No
Men,Kansas 3A,800m,2012,483,No
Men,Kansas 3A,800m,2013,448,No
Men,Kansas 3A,800m,2014,477,No
Men,Kansas 3A,800m,2015,476,No
Men,Kansas 3A,800m,2016,519,No
Men,Kansas 3A,800m,2017,504,No
Men,Kansas 3A,800m,2018,504,No
Men,Kansas 3A,800m,2019,508,No
Men,Kansas 3A,800m,2021,542,No
Men,Kansas 3A,800m,2022,525,No
Men,Kansas 3A,800m,2023,557,No
Men,Kansas 3A,Discus,2010,608,No
Men,Kansas 3A,Discus,2011,596,No
Men,Kansas 3A,Discus,2012,628,No
Men,Kansas 3A,Discus,2013,641,No
Men,Kansas 3A,Discus,2014,633,No
Men,Kansas 3A,Discus,2015,630,No
Men,Kansas 3A,Discus,2016,648,No
Men,Kansas 3A,Discus,2017,650,No
Men,Kansas 3A,Discus,2018,653,No
Men,Kansas 3A,Discus,2019,682,No
Men,Kansas 3A,Discus,2021,657,No
Men,Kansas 3A,Discus,2022,676,No
Men,Kansas 3A,Discus,2023,694,No
Men,Kansas 3A,High Jump,2010,683,No
Men,Kansas 3A,High Jump,2011,709,No
Men,Kansas 3A,High Jump,2012,652,No
Men,Kansas 3A,High Jump,2013,659,No
Men,Kansas 3A,High Jump,2014,670,No
Men,Kansas 3A,High Jump,2015,667,No
Men,Kansas 3A,High Jump,2016,670,No
Men,Kansas 3A,High Jump,2017,668,No
Men,Kansas 3A,High Jump,2018,681,No
Men,Kansas 3A,High Jump,2019,651,No
Men,Kansas 3A,High Jump,2021,669,No
Men,Kansas 3A,High Jump,2022,680,No
Men,Kansas 3A,High Jump,2023,655,No
Men,Kansas 3A,Javelin,2010,533,No
Men,Kansas 3A,Javelin,2011,546,No
Men,Kansas 3A,Javelin,2012,556,No
Men,Kansas 3A,Javelin,2013,580,No
Men,Kansas 3A,Javelin,2014,577,No
Men,Kansas 3A,Javelin,2015,573,No
Men,Kansas 3A,Javelin,2016,579,No
Men,Kansas 3A,Javelin,2017,585,No
Men,Kansas 3A,Javelin,2018,599,No
Men,Kansas 3A,Javelin,2019,576,No
Men,Kansas 3A,Javelin,2021,559,No
Men,Kansas 3A,Javelin,2022,575,No
Men,Kansas 3A,Javelin,2023,593,No
Men,Kansas 3A,Long Jump,2010,626,No
Men,Kansas 3A,Long Jump,2011,634,No
Men,Kansas 3A,Long Jump,2012,665,No
Men,Kansas 3A,Long Jump,2013,675,No
Men,Kansas 3A,Long Jump,2014,691,No
Men,Kansas 3A,Long Jump,2015,680,No
Men,Kansas 3A,Long Jump,2016,706,No
Men,Kansas 3A,Long Jump,2017,696,No
Men,Kansas 3A,Long Jump,2018,688,No
Men,Kansas 3A,Long Jump,2019,708,No
Men,Kansas 3A,Long Jump,2021,717,No
Men,Kansas 3A,Long Jump,2022,707,No
Men,Kansas 3A,Long Jump,2023,727,No
Men,Kansas 3A,Pole Vault,2010,504,No
Men,Kansas 3A,Pole Vault,2011,598,No
Men,Kansas 3A,Pole Vault,2012,501,No
Men,Kansas 3A,Pole Vault,2013,495,No
Men,Kansas 3A,Pole Vault,2014,460,No
Men,Kansas 3A,Pole Vault,2015,485,No
Men,Kansas 3A,Pole Vault,2016,555,No
Men,Kansas 3A,Pole Vault,2017,548,No
Men,Kansas 3A,Pole Vault,2018,536,No
Men,Kansas 3A,Pole Vault,2019,503,No
Men,Kansas 3A,Pole Vault,2021,491,No
Men,Kansas 3A,Pole Vault,2022,487,No
Men,Kansas 3A,Pole Vault,2023,509,No
Men,Kansas 3A,Shot Put,2010,669,No
Men,Kansas 3A,Shot Put,2011,665,No
Men,Kansas 3A,Shot Put,2012,674,No
Men,Kansas 3A,Shot Put,2013,688,No
Men,Kansas 3A,Shot Put,2014,685,No
Men,Kansas 3A,Shot Put,2015,687,No
Men,Kansas 3A,Shot Put,2016,696,No
Men,Kansas 3A,Shot Put,2017,686,No
Men,Kansas 3A,Shot Put,2018,696,No
Men,Kansas 3A,Shot Put,2019,715,No
Men,Kansas 3A,Shot Put,2021,714,No
Men,Kansas 3A,Shot Put,2022,719,No
Men,Kansas 3A,Shot Put,2023,737,No
Men,Kansas 3A,Triple Jump,2010,555,No
Men,Kansas 3A,Triple Jump,2011,632,No
Men,Kansas 3A,Triple Jump,2012,617,No
Men,Kansas 3A,Triple Jump,2013,619,No
Men,Kansas 3A,Triple Jump,2014,622,No
Men,Kansas 3A,Triple Jump,2015,619,No
Men,Kansas 3A,Triple Jump,2016,627,No
Men,Kansas 3A,Triple Jump,2017,633,No
Men,Kansas 3A,Triple Jump,2018,639,No
Men,Kansas 3A,Triple Jump,2019,636,No
Men,Kansas 3A,Triple Jump,2021,633,No
Men,Kansas 3A,Triple Jump,2022,642,No
Men,Kansas 3A,Triple Jump,2023,661,No
Men,Kansas 6A,100m,2010,793,No
Men,Kansas 6A,100m,2011,704,No
Men,Kansas 6A,100m,2012,783,No
Men,Kansas 6A,100m,2013,774,No
Men,Kansas 6A,100m,2014,785,No
Men,Kansas 6A,100m,2015,797,No
Men,Kansas 6A,100m,2016,838,No
Men,Kansas 6A,100m,2017,818,No
Men,Kansas 6A,100m,2018,818,No
Men,Kansas 6A,100m,2019,824,No
Men,Kansas 6A,100m,2021,816,No
Men,Kansas 6A,100m,2022,852,No
Men,Kansas 6A,100m,2023,851,No
Men,Kansas 6A,1600m,2010,613,No
Men,Kansas 6A,1600m,2011,485,No
Men,Kansas 6A,1600m,2012,645,No
Men,Kansas 6A,1600m,2013,617,No
Men,Kansas 6A,1600m,2014,636,No
Men,Kansas 6A,1600m,2015,656,No
Men,Kansas 6A,1600m,2016,640,No
Men,Kansas 6A,1600m,2017,633,No
Men,Kansas 6A,1600m,2018,642,No
Men,Kansas 6A,1600m,2019,640,No
Men,Kansas 6A,1600m,2021,644,No
Men,Kansas 6A,1600m,2022,668,No
Men,Kansas 6A,1600m,2023,694,No
Men,Kansas 6A,200m,2010,746,No
Men,Kansas 6A,200m,2011,699,No
Men,Kansas 6A,200m,2012,767,No
Men,Kansas 6A,200m,2013,747,No
Men,Kansas 6A,200m,2014,761,No
Men,Kansas 6A,200m,2015,763,No
Men,Kansas 6A,200m,2016,783,No
Men,Kansas 6A,200m,2017,778,No
Men,Kansas 6A,200m,2018,781,No
Men,Kansas 6A,200m,2019,770,No
Men,Kansas 6A,200m,2021,744,No
Men,Kansas 6A,200m,2022,781,No
Men,Kansas 6A,200m,2023,792,No
Men,Kansas 6A,3200m,2010,561,No
Men,Kansas 6A,3200m,2011,522,No
Men,Kansas 6A,3200m,2012,591,No
Men,Kansas 6A,3200m,2013,578,No
Men,Kansas 6A,3200m,2014,602,No
Men,Kansas 6A,3200m,2015,599,No
Men,Kansas 6A,3200m,2016,593,No
Men,Kansas 6A,3200m,2017,587,No
Men,Kansas 6A,3200m,2018,598,No
Men,Kansas 6A,3200m,2019,601,No
Men,Kansas 6A,3200m,2021,604,No
Men,Kansas 6A,3200m,2022,616,No
Men,Kansas 6A,3200m,2023,634,No
Men,Kansas 6A,400m,2010,706,No
Men,Kansas 6A,400m,2011,605,No
Men,Kansas 6A,400m,2012,734,No
Men,Kansas 6A,400m,2013,698,No
Men,Kansas 6A,400m,2014,706,No
Men,Kansas 6A,400m,2015,709,No
Men,Kansas 6A,400m,2016,706,No
Men,Kansas 6A,400m,2017,691,No
Men,Kansas 6A,400m,2018,719,No
Men,Kansas 6A,400m,2019,690,No
Men,Kansas 6A,400m,2021,679,No
Men,Kansas 6A,400m,2022,696,No
Men,Kansas 6A,400m,2023,714,No
Men,Kansas 6A,800m,2010,645,No
Men,Kansas 6A,800m,2011,509,No
Men,Kansas 6A,800m,2012,658,No
Men,Kansas 6A,800m,2013,634,No
Men,Kansas 6A,800m,2014,670,No
Men,Kansas 6A,800m,2015,674,No
Men,Kansas 6A,800m,2016,656,No
Men,Kansas 6A,800m,2017,652,No
Men,Kansas 6A,800m,2018,657,No
Men,Kansas 6A,800m,2019,661,No
Men,Kansas 6A,800m,2021,661,No
Men,Kansas 6A,800m,2022,681,No
Men,Kansas 6A,800m,2023,700,No
Men,Kansas 6A,Discus,2010,672,No
Men,Kansas 6A,Discus,2011,629,No
Men,Kansas 6A,Discus,2012,652,No
Men,Kansas 6A,Discus,2013,661,No
Men,Kansas 6A,Discus,2014,657,No
Men,Kansas 6A,Discus,2015,664,No
Men,Kansas 6A,Discus,2016,670,No
Men,Kansas 6A,Discus,2017,670,No
Men,Kansas 6A,Discus,2018,673,No
Men,Kansas 6A,Discus,2019,663,No
Men,Kansas 6A,Discus,2021,670,No
Men,Kansas 6A,Discus,2022,672,No
Men,Kansas 6A,Discus,2023,679,No
Men,Kansas 6A,High Jump,2010,714,No
Men,Kansas 6A,High Jump,2011,696,No
Men,Kansas 6A,High Jump,2012,725,No
Men,Kansas 6A,High Jump,2013,699,No
Men,Kansas 6A,High Jump,2014,712,No
Men,Kansas 6A,High Jump,2015,679,No
Men,Kansas 6A,High Jump,2016,695,No
Men,Kansas 6A,High Jump,2017,724,No
Men,Kansas 6A,High Jump,2018,697,No
Men,Kansas 6A,High Jump,2019,698,No
Men,Kansas 6A,High Jump,2021,683,No
Men,Kansas 6A,High Jump,2022,704,No
Men,Kansas 6A,High Jump,2023,705,No
Men,Kansas 6A,Javelin,2010,592,No
Men,Kansas 6A,Javelin,2011,576,No
Men,Kansas 6A,Javelin,2012,582,No
Men,Kansas 6A,Javelin,2013,592,No
Men,Kansas 6A,Javelin,2014,596,No
Men,Kansas 6A,Javelin,2015,601,No
Men,Kansas 6A,Javelin,2016,607,No
Men,Kansas 6A,Javelin,2017,604,No
Men,Kansas 6A,Javelin,2018,604,No
Men,Kansas 6A,Javelin,2019,598,No
Men,Kansas 6A,Javelin,2021,573,No
Men,Kansas 6A,Javelin,2022,569,No
Men,Kansas 6A,Javelin,2023,590,No
Men,Kansas 6A,Long Jump,2010,729,No
Men,Kansas 6A,Long Jump,2011,666,No
Men,Kansas 6A,Long Jump,2012,734,No
Men,Kansas 6A,Long Jump,2013,744,No
Men,Kansas 6A,Long Jump,2014,762,No
Men,Kansas 6A,Long Jump,2015,756,No
Men,Kansas 6A,Long Jump,2016,770,No
Men,Kansas 6A,Long Jump,2017,773,No
Men,Kansas 6A,Long Jump,2018,770,No
Men,Kansas 6A,Long Jump,2019,777,No
Men,Kansas 6A,Long Jump,2021,749,No
Men,Kansas 6A,Long Jump,2022,772,No
Men,Kansas 6A,Long Jump,2023,760,No
Men,Kansas 6A,Pole Vault,2010,601,No
Men,Kansas 6A,Pole Vault,2011,596,No
Men,Kansas 6A,Pole Vault,2012,585,No
Men,Kansas 6A,Pole Vault,2013,556,No
Men,Kansas 6A,Pole Vault,2014,559,No
Men,Kansas 6A,Pole Vault,2015,591,No
Men,Kansas 6A,Pole Vault,2016,560,No
Men,Kansas 6A,Pole Vault,2017,566,No
Men,Kansas 6A,Pole Vault,2018,555,No
Men,Kansas 6A,Pole Vault,2019,517,No
Men,Kansas 6A,Pole Vault,2021,485,No
Men,Kansas 6A,Pole Vault,2022,490,No
Men,Kansas 6A,Pole Vault,2023,559,No
Men,Kansas 6A,Shot Put,2010,724,No
Men,Kansas 6A,Shot Put,2011,693,No
Men,Kansas 6A,Shot Put,2012,714,No
Men,Kansas 6A,Shot Put,2013,715,No
Men,Kansas 6A,Shot Put,2014,715,No
Men,Kansas 6A,Shot Put,2015,722,No
Men,Kansas 6A,Shot Put,2016,727,No
Men,Kansas 6A,Shot Put,2017,730,No
Men,Kansas 6A,Shot Put,2018,734,No
Men,Kansas 6A,Shot Put,2019,740,No
Men,Kansas 6A,Shot Put,2021,733,No
Men,Kansas 6A,Shot Put,2022,743,No
Men,Kansas 6A,Shot Put,2023,741,No
Men,Kansas 6A,Triple Jump,2010,662,No
Men,Kansas 6A,Triple Jump,2011,663,No
Men,Kansas 6A,Triple Jump,2012,667,No
Men,Kansas 6A,Triple Jump,2013,663,No
Men,Kansas 6A,Triple Jump,2014,683,No
Men,Kansas 6A,Triple Jump,2015,674,No
Men,Kansas 6A,Triple Jump,2016,685,No
Men,Kansas 6A,Triple Jump,2017,674,No
Men,Kansas 6A,Triple Jump,2018,693,No
Men,Kansas 6A,Triple Jump,2019,677,No
Men,Kansas 6A,Triple Jump,2021,643,No
Men,Kansas 6A,Triple Jump,2022,652,No
Men,Kansas 6A,Triple Jump,2023,660,No
Men,NAIA,10000m,2010,777,No
Men,NAIA,10000m,2011,813,No
Men,NAIA,10000m,2012,758,No
Men,NAIA,10000m,2013,767,No
Men,NAIA,10000m,2014,767,No
Men,NAIA,10000m,2015,771,No
Men,NAIA,10000m,2016,740,No
Men,NAIA,10000m,2017,743,No
Men,NAIA,10000m,2018,752,No
Men,NAIA,10000m,2019,761,No
Men,NAIA,10000m,2021,797,No
Men,NAIA,10000m,2022,816,No
Men,NAIA,10000m,2023,819,No
Men,NAIA,100m,2010,942,No
Men,NAIA,100m,2011,966,No
Men,NAIA,100m,2012,947,No
Men,NAIA,100m,2013,939,No
Men,NAIA,100m,2014,954,No
Men,NAIA,100m,2015,960,No
Men,NAIA,100m,2016,970,No
Men,NAIA,100m,2017,980,No
Men,NAIA,100m,2018,974,No
Men,NAIA,100m,2019,973,No
Men,NAIA,100m,2021,984,No
Men,NAIA,100m,2022,998,No
Men,NAIA,100m,2023,1020,No
Men,NAIA,1500m,2010,885,No
Men,NAIA,1500m,2011,905,No
Men,NAIA,1500m,2012,897,No
Men,NAIA,1500m,2013,883,No
Men,NAIA,1500m,2014,893,No
Men,NAIA,1500m,2015,904,No
Men,NAIA,1500m,2016,877,No
Men,NAIA,1500m,2017,878,No
Men,NAIA,1500m,2018,865,No
Men,NAIA,1500m,2019,864,No
Men,NAIA,1500m,2021,865,No
Men,NAIA,1500m,2022,903,No
Men,NAIA,1500m,2023,915,No
Men,NAIA,200m,2010,949,No
Men,NAIA,200m,2011,960,No
Men,NAIA,200m,2012,957,No
Men,NAIA,200m,2013,933,No
Men,NAIA,200m,2014,957,No
Men,NAIA,200m,2015,962,No
Men,NAIA,200m,2016,960,No
Men,NAIA,200m,2017,971,No
Men,NAIA,200m,2018,977,No
Men,NAIA,200m,2019,972,No
Men,NAIA,200m,2021,971,No
Men,NAIA,200m,2022,994,No
Men,NAIA,200m,2023,1007,No
Men,NAIA,400m,2010,924,No
Men,NAIA,400m,2011,932,No
Men,NAIA,400m,2012,929,No
Men,NAIA,400m,2013,904,No
Men,NAIA,400m,2014,926,No
Men,NAIA,400m,2015,926,No
Men,NAIA,400m,2016,922,No
Men,NAIA,400m,2017,927,No
Men,NAIA,400m,2018,934,No
Men,NAIA,400m,2019,942,No
Men,NAIA,400m,2021,913,No
Men,NAIA,400m,2022,944,No
Men,NAIA,400m,2023,951,No
Men,NAIA,5000m,2010,803,No
Men,NAIA,5000m,2011,822,No
Men,NAIA,5000m,2012,814,No
Men,NAIA,5000m,2013,802,No
Men,NAIA,5000m,2014,798,No
Men,NAIA,5000m,2015,807,No
Men,NAIA,5000m,2016,782,No
Men,NAIA,5000m,2017,780,No
Men,NAIA,5000m,2018,789,No
Men,NAIA,5000m,2019,779,No
Men,NAIA,5000m,2021,818,No
Men,NAIA,5000m,2022,834,No
Men,NAIA,5000m,2023,839,No
Men,NAIA,800m,2010,912,No
Men,NAIA,800m,2011,912,No
Men,NAIA,800m,2012,916,No
Men,NAIA,800m,2013,903,No
Men,NAIA,800m,2014,919,No
Men,NAIA,800m,2015,910,No
Men,NAIA,800m,2016,900,No
Men,NAIA,800m,2017,915,No
Men,NAIA,800m,2018,895,No
Men,NAIA,800m,2019,899,No
Men,NAIA,800m,2021,887,No
Men,NAIA,800m,2022,928,No
Men,NAIA,800m,2023,936,No
Men,NAIA,Discus,2010,787,No
Men,NAIA,Discus,2011,806,No
Men,NAIA,Discus,2012,800,No
Men,NAIA,Discus,2013,796,No
Men,NAIA,Discus,2014,814,No
Men,NAIA,Discus,2015,803,No
Men,NAIA,Discus,2016,799,No
Men,NAIA,Discus,2017,803,No
Men,NAIA,Discus,2018,810,No
Men,NAIA,Discus,2019,802,No
Men,NAIA,Discus,2021,805,No
Men,NAIA,Discus,2022,818,No
Men,NAIA,Discus,2023,822,No
Men,NAIA,High Jump,2010,862,No
Men,NAIA,High Jump,2011,890,No
Men,NAIA,High Jump,2012,887,No
Men,NAIA,High Jump,2013,886,No
Men,NAIA,High Jump,2014,893,No
Men,NAIA,High Jump,2015,887,No
Men,NAIA,High Jump,2016,867,No
Men,NAIA,High Jump,2017,878,No
Men,NAIA,High Jump,2018,876,No
Men,NAIA,High Jump,2019,894,No
Men,NAIA,High Jump,2021,881,No
Men,NAIA,High Jump,2022,889,No
Men,NAIA,High Jump,2023,887,No
Men,NAIA,Javelin,2010,713,No
Men,NAIA,Javelin,2011,735,No
Men,NAIA,Javelin,2012,721,No
Men,NAIA,Javelin,2013,704,No
Men,NAIA,Javelin,2014,716,No
Men,NAIA,Javelin,2015,699,No
Men,NAIA,Javelin,2016,705,No
Men,NAIA,Javelin,2017,706,No
Men,NAIA,Javelin,2018,711,No
Men,NAIA,Javelin,2019,715,No
Men,NAIA,Javelin,2021,697,No
Men,NAIA,Javelin,2022,709,No
Men,NAIA,Javelin,2023,728,No
Men,NAIA,Long Jump,2010,889,No
Men,NAIA,Long Jump,2011,913,No
Men,NAIA,Long Jump,2012,902,No
